year, mo,    data_type, region, extent,   area
2006,  6,      Goddard,      N,  11.13,   8.37
2007,  6,      Goddard,      N,  11.59,   8.19
2008,  6,      Goddard,      N,  11.41,   8.80
2009,  6,      Goddard,      N,  11.51,   9.21
2010,  6,      Goddard,      N,  10.86,   8.30
2011,  6,      Goddard,      N,  11.04,   8.49
2012,  6,      Goddard,      N,  10.97,   8.07
2013,  6,      Goddard,      N,  11.60,   8.91
2014,  6,      Goddard,      N,  11.34,   8.71
2015,  6,      Goddard,      N,  11.05,   8.66
2016,  6,      NRTSI-G,      N,  10.60,   8.09
1979,  7,      Goddard,      N,  10.52,   6.61
1980,  7,      Goddard,      N,  10.43,   6.46
1981,  7,      Goddard,      N,  10.67,   6.25
1982,  7,      Goddard,      N,  10.81,   6.82
1983,  7,      Goddard,      N,  10.95,   6.81
1984,  7,      Goddard,      N,  10.22,   6.22
1985,  7,      Goddard,      N,  10.16,   5.91
1986,  7,      Goddard,      N,  10.50,   6.55
1987,  7,      Goddard,      N,  10.81,   6.49
1988,  7,      Goddard,      N,  10.12,   6.95
1989,  7,      Goddard,      N,  10.47,   7.27
1990,  7,      Goddard,      N,   9.68,   6.47
1991,  7,      Goddard,      N,   9.76,   6.69
1992,  7,      Goddard,      N,  10.70,   7.18
1993,  7,      Goddard,      N,   9.74,   6.20
1994,  7,      Goddard,      N,  10.30,   6.88
1995,  7,      Goddard,      N,   9.23,   6.08
1996,  7,      Goddard,      N,  10.46,   7.39
1997,  7,      Goddard,      N,   9.66,   6.44
1998,  7,      Goddard,      N,   9.67,   6.40
1999,  7,      Goddard,      N,   9.65,   6.51
2000,  7,      Goddard,      N,   9.81,   6.33
2001,  7,      Goddard,      N,   9.28,   6.24
2002,  7,      Goddard,      N,   9.58,   6.37
2003,  7,      Goddard,      N,   9.53,   6.09
2004,  7,      Goddard,      N,   9.65,   6.45
2005,  7,      Goddard,      N,   8.99,   5.84
2006,  7,      Goddard,      N,   8.74,   5.73
2007,  7,      Goddard,      N,   8.19,   5.05
2008,  7,      Goddard,      N,   9.01,   6.00
2009,  7,      Goddard,      N,   8.84,   6.04
2010,  7,      Goddard,      N,   8.38,   5.52
2011,  7,      Goddard,      N,   7.94,   5.30
2012,  7,      Goddard,      N,   7.96,   5.02
2013,  7,      Goddard,      N,   8.45,   5.73
2014,  7,      Goddard,      N,   8.28,   5.89
2015,  7,      Goddard,      N,   8.83,   5.58
2016,  7,      NRTSI-G,      N,   8.13,   5.24
1979,  8,      Goddard,      N,   8.18,   4.97
1980,  8,      Goddard,      N,   8.08,   4.85
1981,  8,      Goddard,      N,   7.89,   4.39
1982,  8,      Goddard,      N,   8.30,   4.94
1983,  8,      Goddard,      N,   8.39,   4.89
1984,  8,      Goddard,      N,   7.94,   4.61
1985,  8,      Goddard,      N,   7.50,   4.52
1986,  8,      Goddard,      N,   8.04,   4.93
1987,  8,      Goddard,      N,   7.72,   4.50
1988,  8,      Goddard,      N,   7.99,   5.37
1989,  8,      Goddard,      N,   8.00,   5.51
1990,  8,      Goddard,      N,   6.87,   4.93
1991,  8,      Goddard,      N,   7.46,   5.15
1992,  8,      Goddard,      N,   7.96,   5.37
1993,  8,      Goddard,      N,   7.39,   4.68
1994,  8,      Goddard,      N,   7.70,   5.12
1995,  8,      Goddard,      N,   6.75,   4.63
1996,  8,      Goddard,      N,   8.29,   5.68
1997,  8,      Goddard,      N,   7.35,   5.04
1998,  8,      Goddard,      N,   7.56,   4.63
1999,  8,      Goddard,      N,   7.44,   4.69
2000,  8,      Goddard,      N,   7.27,   4.73
2001,  8,      Goddard,      N,   7.53,   4.89
2002,  8,      Goddard,      N,   6.57,   4.25
2003,  8,      Goddard,      N,   6.93,   4.46
2004,  8,      Goddard,      N,   6.87,   4.58
2005,  8,      Goddard,      N,   6.33,   4.15
2006,  8,      Goddard,      N,   6.56,   4.26
2007,  8,      Goddard,      N,   5.41,   3.12
2008,  8,      Goddard,      N,   6.07,   3.70
2009,  8,      Goddard,      N,   6.29,   4.10
2010,  8,      Goddard,      N,   6.03,   3.83
2011,  8,      Goddard,      N,   5.57,   3.31
2012,  8,      Goddard,      N,   4.71,   2.82
2013,  8,      Goddard,      N,   6.10,   4.11
2014,  8,      Goddard,      N,   6.23,   4.30
2015,  8,      Goddard,      N,   5.66,   3.55
2016,  8,      NRTSI-G,      N,   5.60,   3.21
1979,  9,      Goddard,      N,   7.22,   4.54
1980,  9,      Goddard,      N,   7.86,   4.83
1981,  9,      Goddard,      N,   7.25,   4.38
1982,  9,      Goddard,      N,   7.45,   4.38
1983,  9,      Goddard,      N,   7.54,   4.64
1984,  9,      Goddard,      N,   7.11,   4.04
1985,  9,      Goddard,      N,   6.94,   4.18
1986,  9,      Goddard,      N,   7.55,   4.67
1987,  9,      Goddard,      N,   7.51,   5.61
1988,  9,      Goddard,      N,   7.53,   5.33
1989,  9,      Goddard,      N,   7.08,   4.83
1990,  9,      Goddard,      N,   6.27,   4.51
1991,  9,      Goddard,      N,   6.59,   4.47
1992,  9,      Goddard,      N,   7.59,   5.38
1993,  9,      Goddard,      N,   6.54,   4.53
1994,  9,      Goddard,      N,   7.24,   5.10
1995,  9,      Goddard,      N,   6.18,   4.39
1996,  9,      Goddard,      N,   7.91,   5.60
1997,  9,      Goddard,      N,   6.78,   4.85
1998,  9,      Goddard,      N,   6.62,   4.26
1999,  9,      Goddard,      N,   6.29,   4.24
2000,  9,      Goddard,      N,   6.36,   4.32
2001,  9,      Goddard,      N,   6.78,   4.56
2002,  9,      Goddard,      N,   5.98,   3.99
2003,  9,      Goddard,      N,   6.18,   4.02
2004,  9,      Goddard,      N,   6.08,   4.36
2005,  9,      Goddard,      N,   5.59,   4.04
2006,  9,      Goddard,      N,   5.95,   3.98
2007,  9,      Goddard,      N,   4.32,   2.79
2008,  9,      Goddard,      N,   4.74,   3.22
2009,  9,      Goddard,      N,   5.39,   3.72
2010,  9,      Goddard,      N,   4.93,   3.29
2011,  9,      Goddard,      N,   4.63,   3.18
2012,  9,      Goddard,      N,   3.63,   2.37
2013,  9,      Goddard,      N,   5.35,   3.75
2014,  9,      Goddard,      N,   5.29,   3.70
2015,  9,      Goddard,      N,   4.68,   3.37
2016,  9,      NRTSI-G,      N,   4.72,   2.81
1979, 10,      Goddard,      N,   9.43,   6.13
1980, 10,      Goddard,      N,   9.49,   6.43
1981, 10,      Goddard,      N,   9.21,   6.20
1982, 10,      Goddard,      N,  10.02,   6.61
1983, 10,      Goddard,      N,   9.69,   6.72
1984, 10,      Goddard,      N,   8.87,   5.85
1985, 10,      Goddard,      N,   8.92,   6.05
1986, 10,      Goddard,      N,   9.92,   6.79
1987, 10,      Goddard,      N,   9.33,   7.46
1988, 10,      Goddard,      N,   9.51,   7.49
1989, 10,      Goddard,      N,   9.55,   6.92
1990, 10,      Goddard,      N,   9.40,   6.70
1991, 10,      Goddard,      N,   9.20,   6.72
1992, 10,      Goddard,      N,   9.64,   7.71
1993, 10,      Goddard,      N,   9.25,   7.01
1994, 10,      Goddard,      N,   9.53,   7.19
1995, 10,      Goddard,      N,   8.98,   5.94
1996, 10,      Goddard,      N,   9.43,   7.51
1997, 10,      Goddard,      N,   8.80,   6.41
1998, 10,      Goddard,      N,   8.89,   6.67
1999, 10,      Goddard,      N,   9.14,   6.79
2000, 10,      Goddard,      N,   8.95,   6.66
2001, 10,      Goddard,      N,   8.60,   6.60
2002, 10,      Goddard,      N,   8.83,   6.22
2003, 10,      Goddard,      N,   8.67,   5.95
2004, 10,      Goddard,      N,   8.50,   6.36
2005, 10,      Goddard,      N,   8.49,   5.74
2006, 10,      Goddard,      N,   8.36,   5.76
2007, 10,      Goddard,      N,   6.80,   4.23
2008, 10,      Goddard,      N,   8.44,   5.72
2009, 10,      Goddard,      N,   7.55,   5.17
2010, 10,      Goddard,      N,   7.73,   5.44
2011, 10,      Goddard,      N,   7.17,   4.92
2012, 10,      Goddard,      N,   7.09,   4.53
2013, 10,      Goddard,      N,   8.15,   5.91
2014, 10,      Goddard,      N,   8.12,   5.62
2015, 10,      Goddard,      N,   7.79,   5.43
2016, 10,      NRTSI-G,      N,   6.45,   4.27
1978, 11,      Goddard,      N,  12.06,   8.98
1979, 11,      Goddard,      N,  11.19,   8.29
1980, 11,      Goddard,      N,  11.72,   8.65
1981, 11,      Goddard,      N,  11.21,   8.25
1982, 11,      Goddard,      N,  11.96,   8.99
1983, 11,      Goddard,      N,  11.68,   8.92
1984, 11,      Goddard,      N,  11.32,   8.17
1985, 11,      Goddard,      N,  11.42,   8.36
1986, 11,      Goddard,      N,  11.81,   8.82
1987, 11,      Goddard,      N,  11.59,   9.69
1988, 11,      Goddard,      N,  11.73,   9.87
1989, 11,      Goddard,      N,  11.57,   9.40
1990, 11,      Goddard,      N,  11.37,   9.60
1991, 11,      Goddard,      N,  11.16,   9.20
1992, 11,      Goddard,      N,  11.91,   9.71
1993, 11,      Goddard,      N,  11.78,   9.50
1994, 11,      Goddard,      N,  11.35,   9.65
1995, 11,      Goddard,      N,  11.05,   8.97
1996, 11,      Goddard,      N,  10.61,   8.71
1997, 11,      Goddard,      N,  10.94,   9.01
1998, 11,      Goddard,      N,  10.79,   8.84
1999, 11,      Goddard,      N,  11.03,   9.22
2000, 11,      Goddard,      N,  10.58,   8.82
2001, 11,      Goddard,      N,  10.94,   9.03
2002, 11,      Goddard,      N,  10.80,   8.70
2003, 11,      Goddard,      N,  10.32,   8.51
2004, 11,      Goddard,      N,  10.66,   8.90
2005, 11,      Goddard,      N,  10.51,   8.74
2006, 11,      Goddard,      N,   9.88,   8.08
2007, 11,      Goddard,      N,  10.08,   8.01
2008, 11,      Goddard,      N,  10.64,   9.01
2009, 11,      Goddard,      N,  10.26,   8.30
2010, 11,      Goddard,      N,   9.89,   8.39
2011, 11,      Goddard,      N,  10.03,   8.45
2012, 11,      Goddard,      N,   9.94,   8.00
2013, 11,      Goddard,      N,  10.26,   8.60
2014, 11,      Goddard,      N,  10.38,   8.70
2015, 11,      Goddard,      N,  10.11,   8.43
2016, 11,      NRTSI-G,      N,   9.08,   6.92
1978, 12,      Goddard,      N,  14.13,  10.86
1979, 12,      Goddard,      N,  13.58,  10.57
1980, 12,      Goddard,      N,  13.75,  10.72
1981, 12,      Goddard,      N,  13.78,  10.48
1982, 12,      Goddard,      N,  13.87,  10.82
1983, 12,      Goddard,      N,  13.49,  10.57
1984, 12,      Goddard,      N,  13.21,  10.20
1985, 12,      Goddard,      N,  13.25,  10.17
1986, 12,      Goddard,      N,  13.46,  10.48
1987, 12,        -9999,      N,  -9999,  -9999
1988, 12,      Goddard,      N,  13.87,  11.96
1989, 12,      Goddard,      N,  13.57,  11.56
1990, 12,      Goddard,      N,  13.36,  11.43
1991, 12,      Goddard,      N,  13.21,  11.14
1992, 12,      Goddard,      N,  13.53,  11.68
1993, 12,      Goddard,      N,  13.58,  11.44
1994, 12,      Goddard,      N,  13.61,  11.45
1995, 12,      Goddard,      N,  13.09,  11.05
1996, 12,      Goddard,      N,  13.21,  10.99
1997, 12,      Goddard,      N,  13.35,  11.21
1998, 12,      Goddard,      N,  13.34,  10.87
1999, 12,      Goddard,      N,  12.95,  10.95
2000, 12,      Goddard,      N,  12.89,  10.92
2001, 12,      Goddard,      N,  12.92,  10.51
2002, 12,      Goddard,      N,  12.89,  10.60
2003, 12,      Goddard,      N,  12.89,  10.76
2004, 12,      Goddard,      N,  12.80,  10.94
2005, 12,      Goddard,      N,  12.55,  10.53
2006, 12,      Goddard,      N,  12.33,  10.12
2007, 12,      Goddard,      N,  12.45,  10.13
2008, 12,      Goddard,      N,  12.57,  10.92
2009, 12,      Goddard,      N,  12.56,  10.54
2010, 12,      Goddard,      N,  12.07,  10.38
2011, 12,      Goddard,      N,  12.47,  10.57
2012, 12,      Goddard,      N,  12.26,  10.40
2013, 12,      Goddard,      N,  12.45,  10.83
2014, 12,      Goddard,      N,  12.59,  10.85
2015, 12,      Goddard,      N,  12.33,  10.59
2016, 12,      NRTSI-G,      N,  12.09,   9.54
2017,  1,      NRTSI-G,      N,  13.38,  11.25
2017,  2,      NRTSI-G,      N,  14.28,  12.21
2017,  3,      NRTSI-G,      N,  14.43,  12.53
2017,  4,      NRTSI-G,      N,  13.83,  12.18
